movies,years,ratings,links,times,genre,directors,directors_webpage,recommender_movies
Cool Hand Luke,1967,8.0,https://www.imdb.com//title/tt0061512/,2h 7m,Crime,Stuart Rosenberg,https://www.imdb.com/name/nm0742341/?ref_=tt_ov_dr,"['Question 7', 'The Defenders', 'The Amityville Horror']"
Amores perros,2000,8.0,https://www.imdb.com//title/tt0245712/,2h 34m,Drama,Alejandro G. Iñárritu,https://www.imdb.com/name/nm0327944/?ref_=tt_ov_dr,"['The Revenant', 'Birdman or (The Unexpected Virtue of Ignorance)', 'Babel']"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,https://www.imdb.com//title/tt0325980/,2h 23m,Action,Gore Verbinski,https://www.imdb.com/name/nm0893659/?ref_=tt_ov_dr,"['Pirates of the Caribbean: The Curse of the Black Pearl', 'A Cure for Wellness', ""Pirates of the Caribbean: At World's End""]"
Les quatre cents coups,1959,8.0,https://www.imdb.com//title/tt0053198/,1h 39m,Crime,François Truffaut,https://www.imdb.com/name/nm0000076/?ref_=tt_ov_dr,"['Close Encounters of the Third Kind', 'Jules et Jim', 'Les quatre cents coups']"
La haine,1995,8.0,https://www.imdb.com//title/tt0113247/,1h 38m,Crime,Mathieu Kassovitz,https://www.imdb.com/name/nm0440913/?ref_=tt_ov_dr,"['La haine', 'The Fifth Element', 'Les rivières pourpres']"
Persona,1966,8.0,https://www.imdb.com//title/tt0060827/,1h 25m,Drama,Ingmar Bergman,https://www.imdb.com/name/nm0000005/?ref_=tt_ov_dr,"['Smultronstället', 'Det sjunde inseglet', 'Fanny och Alexander']"
Dersu Uzala,1975,8.0,https://www.imdb.com//title/tt0071411/,2h 22m,Adventure,Akira Kurosawa,https://www.imdb.com/name/nm0000041/?ref_=tt_ov_dr,"['Kagemusha', 'Ran', 'Tengoku to jigoku']"
Life of Brian,1979,8.0,https://www.imdb.com//title/tt0079470/,1h 34m,Comedy,Terry Jones,https://www.imdb.com/name/nm0001402/?ref_=tt_ov_dr,"['The Meaning of Life', 'Life of Brian', 'The Wind in the Willows']"
Babam ve Oglum,2005,8.0,https://www.imdb.com//title/tt0476735/,1h 52m,Drama,Cagan Irmak,https://www.imdb.com/name/nm1463981/?ref_=tt_ov_dr,"['Issiz Adam', 'Ulak', 'Dedemin Insanlari']"
It Happened One Night,1934,8.0,https://www.imdb.com//title/tt0025316/,1h 45m,Comedy,Frank Capra,https://www.imdb.com/name/nm0001008/?ref_=tt_ov_dr,"['It Happened One Night', ""You Can't Take It with You"", 'Mr. Smith Goes to Washington']"
The Sound of Music,1965,8.0,https://www.imdb.com//title/tt0059742/,2h 52m,Biography,Robert Wise,https://www.imdb.com/name/nm0936404/?ref_=tt_ov_dr,"['The Sound of Music', 'The Andromeda Strain', 'Star Trek: The Motion Picture']"
Ah-ga-ssi,2016,8.0,https://www.imdb.com//title/tt4016934/,2h 25m,Drama,Park Chan-wook,https://www.imdb.com/name/nm0661791/?ref_=tt_ov_dr,"['Ah-ga-ssi', 'Bakjwi', 'Gongdong gyeongbi guyeok JSA']"
Aladdin,1992,8.0,https://www.imdb.com//title/tt0103639/,1h 30m,Animation,Ron Clements,https://www.imdb.com/name/nm0166256/?ref_=tt_ov_dr,"['Aladdin', 'Moana', 'The Princess and the Frog']"
Gandhi,1982,8.0,https://www.imdb.com//title/tt0083987/,3h 11m,Biography,Richard Attenborough,https://www.imdb.com/name/nm0000277/?ref_=tt_ov_dr,"['Gandhi', 'The Great Escape', 'The Sand Pebbles']"
Jai Bhim,2021,8.0,https://www.imdb.com//title/tt15097216/,2h 44m,Crime,T.J. Gnanavel,https://www.imdb.com/name/nm4377096/?ref_=tt_ov_dr,"['Kootathil Oruthan', 'Payanam', 'Dhoni']"
The Help,2011,8.0,https://www.imdb.com//title/tt1454029/,2h 26m,Drama,Tate Taylor,https://www.imdb.com/name/nm0853238/?ref_=tt_ov_dr,"['The Help', 'The Girl on the Train', 'Ma']"
Beauty and the Beast,1991,8.0,https://www.imdb.com//title/tt0101414/,1h 24m,Animation,Gary Trousdale,https://www.imdb.com/name/nm0873779/?ref_=tt_ov_dr,"['Beauty and the Beast', 'Atlantis: The Lost Empire', 'The Lion King']"
