movies,years,ratings,links,times,genre,directors,directors_webpage,recommender_movies
Apocalypse Now,1979,8.4,https://www.imdb.com//title/tt0078788/,2h 27m,Drama,Francis Ford Coppola,https://www.imdb.com/name/nm0000338/?ref_=tt_ov_dr,"['The Conversation', 'The Godfather Part II', 'The Godfather']"
Raiders of the Lost Ark,1981,8.4,https://www.imdb.com//title/tt0082971/,1h 55m,Action,Steven Spielberg,https://www.imdb.com/name/nm0000229/?ref_=tt_ov_dr,"['E.T. the Extra-Terrestrial', 'Saving Private Ryan', 'Raiders of the Lost Ark']"
Django Unchained,2012,8.4,https://www.imdb.com//title/tt1853728/,2h 45m,Drama,Quentin Tarantino,https://www.imdb.com/name/nm0000233/?ref_=tt_ov_dr,"['Pulp Fiction', 'Once Upon a Time in... Hollywood', 'The Hateful Eight']"
WALL·E,2008,8.4,https://www.imdb.com//title/tt0910970/,1h 38m,Animation,Andrew Stanton,https://www.imdb.com/name/nm0004056/?ref_=tt_ov_dr,"['Finding Nemo', 'Finding Dory', 'Toy Story 2']"
The Lives of Others,2006,8.4,https://www.imdb.com//title/tt0405094/,2h 17m,Drama,Florian Henckel von Donnersmarck,https://www.imdb.com/name/nm0003697/?ref_=tt_ov_dr,"['Werk ohne Autor', 'The Tourist', 'Dobermann']"
Sunset Blvd.,1950,8.4,https://www.imdb.com//title/tt0043014/,1h 50m,Drama,Billy Wilder,https://www.imdb.com/name/nm0000697/?ref_=tt_ov_dr,"['Some Like It Hot', 'Sabrina', 'Sunset Blvd.']"
Paths of Glory,1957,8.4,https://www.imdb.com//title/tt0050825/,1h 28m,Drama,Stanley Kubrick,https://www.imdb.com/name/nm0000040/?ref_=tt_ov_dr,"['Barry Lyndon', 'A Clockwork Orange', 'Full Metal Jacket']"
The Shining,1980,8.4,https://www.imdb.com//title/tt0081505/,2h 26m,Drama,Stanley Kubrick,https://www.imdb.com/name/nm0000040/?ref_=tt_ov_dr,"['Barry Lyndon', 'A Clockwork Orange', 'Full Metal Jacket']"
The Great Dictator,1940,8.4,https://www.imdb.com//title/tt0032553/,2h 5m,Comedy,Charles Chaplin,https://www.imdb.com/name/nm0000122/?ref_=tt_ov_dr,"['Modern Times', 'Limelight', 'The Circus']"
Witness for the Prosecution,1957,8.4,https://www.imdb.com//title/tt0051201/,1h 56m,Crime,Billy Wilder,https://www.imdb.com/name/nm0000697/?ref_=tt_ov_dr,"['Some Like It Hot', 'Sabrina', 'Sunset Blvd.']"
Avengers: Infinity War,2018,8.4,https://www.imdb.com//title/tt4154756/,2h 29m,Action,Anthony Russo,https://www.imdb.com/name/nm0751577/?ref_=tt_ov_dr,"['Captain America: The Winter Soldier', 'Avengers: Infinity War', 'Captain America: Civil War']"
Aliens,1986,8.3,https://www.imdb.com//title/tt0090605/,2h 17m,Action,James Cameron,https://www.imdb.com/name/nm0000116/?ref_=tt_ov_dr,"['Titanic', 'Terminator 2: Judgment Day', 'Aliens']"
American Beauty,1999,8.3,https://www.imdb.com//title/tt0169547/,2h 2m,Drama,Sam Mendes,https://www.imdb.com/name/nm0005222/?ref_=tt_ov_dr,"['Road to Perdition', 'Skyfall', 'Revolutionary Road']"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,https://www.imdb.com//title/tt0057012/,1h 35m,Comedy,Stanley Kubrick,https://www.imdb.com/name/nm0000040/?ref_=tt_ov_dr,"['Barry Lyndon', 'A Clockwork Orange', 'Full Metal Jacket']"
The Dark Knight Rises,2012,8.3,https://www.imdb.com//title/tt1345836/,2h 44m,Action,Christopher Nolan,https://www.imdb.com/name/nm0634240/?ref_=tt_ov_dr,"['Inception', 'Interstellar', 'Dunkirk']"
Spider-Man: Into the Spider-Verse,2018,8.3,https://www.imdb.com//title/tt4633694/,1h 57m,Animation,Bob Persichetti,https://www.imdb.com/name/nm2130108/?ref_=tt_ov_dr,"['Le Petit Prince', 'Puss in Boots', 'Shrek 2']"
Joker,2019,8.3,https://www.imdb.com//title/tt7286456/,2h 2m,Crime,Todd Phillips,https://www.imdb.com/name/nm0680846/?ref_=tt_ov_dr,"['Due Date', 'Old School', 'Road Trip']"
Oldeuboi,2003,8.3,https://www.imdb.com//title/tt0364569/,2h,Action,Park Chan-wook,https://www.imdb.com/name/nm0661791/?ref_=tt_ov_dr,"['Ah-ga-ssi', 'Bakjwi', 'Gongdong gyeongbi guyeok JSA']"
Braveheart,1995,8.3,https://www.imdb.com//title/tt0112573/,2h 58m,Biography,Mel Gibson,https://www.imdb.com/name/nm0000154/?ref_=tt_ov_dr,"['Lethal Weapon 3', 'Conspiracy Theory', 'Ransom']"
Amadeus,1984,8.3,https://www.imdb.com//title/tt0086879/,2h 40m,Biography,Milos Forman,https://www.imdb.com/name/nm0001232/?ref_=tt_ov_dr,"['Amadeus', 'The People vs. Larry Flynt', 'Hair']"
Toy Story,1995,8.3,https://www.imdb.com//title/tt0114709/,1h 21m,Animation,John Lasseter,https://www.imdb.com/name/nm0005124/?ref_=tt_ov_dr,"[""A Bug's Life"", 'Cars', 'Toy Story']"
Coco,2017,8.3,https://www.imdb.com//title/tt2380307/,1h 45m,Animation,Lee Unkrich,https://www.imdb.com/name/nm0881279/?ref_=tt_ov_dr,"['Coco', 'Toy Story 3', 'Finding Nemo']"
