movies,years,ratings,links
Hacksaw Ridge,2016,8.1,https://www.imdb.com//title/tt2119532/
Klaus,2019,8.1,https://www.imdb.com//title/tt4729430/
Det sjunde inseglet,1957,8.1,https://www.imdb.com//title/tt0050976/
Relatos salvajes,2014,8.1,https://www.imdb.com//title/tt3011894/
The Big Lebowski,1998,8.1,https://www.imdb.com//title/tt0118715/
How to Train Your Dragon,2010,8.1,https://www.imdb.com//title/tt0892769/
Mad Max: Fury Road,2015,8.1,https://www.imdb.com//title/tt1392190/
Mary and Max.,2009,8.1,https://www.imdb.com//title/tt0978762/
"Monsters, Inc.",2001,8.1,https://www.imdb.com//title/tt0198781/
Jaws,1975,8.1,https://www.imdb.com//title/tt0073195/
La passion de Jeanne d'Arc,1928,8.1,https://www.imdb.com//title/tt0019254/
Hotel Rwanda,2004,8.1,https://www.imdb.com//title/tt0395169/
Dead Poets Society,1989,8.1,https://www.imdb.com//title/tt0097165/
Tôkyô monogatari,1953,8.1,https://www.imdb.com//title/tt0046438/
Pather Panchali,1955,8.1,https://www.imdb.com//title/tt0048473/
Rocky,1976,8.0,https://www.imdb.com//title/tt0075148/
Platoon,1986,8.0,https://www.imdb.com//title/tt0091763/
Ford v Ferrari,2019,8.0,https://www.imdb.com//title/tt1950186/
Stand by Me,1986,8.0,https://www.imdb.com//title/tt0092005/
The Terminator,1984,8.0,https://www.imdb.com//title/tt0088247/
Spotlight,2015,8.0,https://www.imdb.com//title/tt1895587/
Rush,2013,8.0,https://www.imdb.com//title/tt1979320/
Into the Wild,2007,8.0,https://www.imdb.com//title/tt0758758/
Network,1976,8.0,https://www.imdb.com//title/tt0074958/
The Wizard of Oz,1939,8.0,https://www.imdb.com//title/tt0032138/
Logan,2017,8.0,https://www.imdb.com//title/tt3315342/
Groundhog Day,1993,8.0,https://www.imdb.com//title/tt0107048/
Ratatouille,2007,8.0,https://www.imdb.com//title/tt0382932/
The Exorcist,1973,8.0,https://www.imdb.com//title/tt0070047/
Before Sunset,2004,8.0,https://www.imdb.com//title/tt0381681/
The Best Years of Our Lives,1946,8.0,https://www.imdb.com//title/tt0036868/
The Incredibles,2004,8.0,https://www.imdb.com//title/tt0317705/
To Be or Not to Be,1942,8.0,https://www.imdb.com//title/tt0035446/
Rebecca,1940,8.0,https://www.imdb.com//title/tt0032976/
The Grapes of Wrath,1940,8.0,https://www.imdb.com//title/tt0032551/
La battaglia di Algeri,1966,8.0,https://www.imdb.com//title/tt0058946/
Hachi: A Dog's Tale,2009,8.0,https://www.imdb.com//title/tt1028532/
Cool Hand Luke,1967,8.0,https://www.imdb.com//title/tt0061512/
Amores perros,2000,8.0,https://www.imdb.com//title/tt0245712/
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,https://www.imdb.com//title/tt0325980/
Les quatre cents coups,1959,8.0,https://www.imdb.com//title/tt0053198/
La haine,1995,8.0,https://www.imdb.com//title/tt0113247/
Persona,1966,8.0,https://www.imdb.com//title/tt0060827/
Dersu Uzala,1975,8.0,https://www.imdb.com//title/tt0071411/
Life of Brian,1979,8.0,https://www.imdb.com//title/tt0079470/
Babam ve Oglum,2005,8.0,https://www.imdb.com//title/tt0476735/
It Happened One Night,1934,8.0,https://www.imdb.com//title/tt0025316/
The Sound of Music,1965,8.0,https://www.imdb.com//title/tt0059742/
Ah-ga-ssi,2016,8.0,https://www.imdb.com//title/tt4016934/
Aladdin,1992,8.0,https://www.imdb.com//title/tt0103639/
Gandhi,1982,8.0,https://www.imdb.com//title/tt0083987/
Jai Bhim,2021,8.0,https://www.imdb.com//title/tt15097216/
The Help,2011,8.0,https://www.imdb.com//title/tt1454029/
Beauty and the Beast,1991,8.0,https://www.imdb.com//title/tt0101414/
